chunk_mean,chunk_mean_2,h,h_2,Hsig,Hsig_2,WaveHeights,WaveHeights_2,WavePeriods,WavePeriods_2,,
1/18/2025 8:47,1/18/2025 8:48,0,0.000833781,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 8:57,1/18/2025 8:58,0.002623191,0.003107916,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 9:07,1/18/2025 9:08,0.004772276,0.00360178,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 9:17,1/18/2025 9:17,0.005045569,0.003106971,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 9:28,1/18/2025 9:27,0.005983603,0.003483059,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 9:37,1/18/2025 9:37,0.005423944,0.004076086,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 9:48,1/18/2025 9:47,0.004071758,0.0034583,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 9:57,1/18/2025 9:57,0.006124127,0.004119886,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 10:08,1/18/2025 10:07,0.009560449,0.005787507,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 10:17,1/18/2025 10:17,0.007954459,0.006507326,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 10:28,1/18/2025 10:28,0.002941972,0.006173071,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 10:37,1/18/2025 10:38,0.018366705,0.022950046,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 10:47,1/18/2025 10:48,0.045479393,0.043253337,NaN,NaN,NaN,NaN,NaN,NaN,,
1/18/2025 10:58,1/18/2025 10:57,0.102746944,0.085334166,0.284993586,NaN,0.228801509,NaN,15.3830771,NaN,,
1/18/2025 11:08,1/18/2025 11:07,0.181648682,0.152290824,0.284975314,0.242248415,0.231592748,0.207043387,13.95297667,4.878057458,,
1/18/2025 11:18,1/18/2025 11:17,0.267483393,0.226907237,0.283286861,0.269400129,0.241540338,0.223210474,199.9913598,10.16956077,,
1/18/2025 11:27,1/18/2025 11:28,0.388877503,0.333139505,0.325747745,0.331609856,0.264502465,0.268831941,6.593187746,6.593048966,,
1/18/2025 11:38,1/18/2025 11:38,0.495922171,0.416005914,0.36396157,0.360857938,0.290391492,0.285757517,6.060414186,6.059287353,,
